T,long,lat,Demand
ZC985,-65.94691,18.374896,7
ZC616,-66.67669,18.426748,4
ZC678,-66.93275,18.442334,6
ZC676,-67.08424,18.37956,8
ZC953,-66.23414,18.36802,13
ZC983,-65.97582,18.414408,7
ZC783,-66.32305,18.304874,7
ZC982,-65.99313,18.409345,4
ZC680,-67.12655,18.205232,9
ZC738,-65.66116,18.32265,7
ZC715,-66.55868,18.003492,3
ZC769,-66.3611,18.092813,8
ZC957,-66.18669,18.369674,8
ZC926,-66.0562,18.361363,15
ZC606,-66.9588,18.182151,3
ZC610,-67.13604,18.288319,6
ZC921,-66.08633,18.394019,7
ZC745,-65.82277,18.366213,10
ZC704,-66.22291,17.970112,4
ZC682,-67.15428,18.208402,7
