T,long,lat,Demand
ZC624,-66.72602,18.055399,6
ZC631,-66.85174,18.186739,3
ZC968,-66.1025,18.408479,3
ZC966,-66.11522,18.398507,5
ZC913,-66.04256,18.450907,4
ZC920,-66.09069,18.41242,5
ZC777,-65.91316,18.224088,8
ZC705,-66.26541,18.12942,6
ZC602,-67.18024,18.363285,8
ZC739,-66.16271,18.16984,8
ZC664,-66.59243,18.212565,5
ZC714,-66.05552,17.987288,5
ZC720,-66.42265,18.217827,5
ZC956,-66.16643,18.34216,11
ZC786,-66.268717,18.128092,2
ZC901,-66.10786,18.465426,4
ZC606,-66.9588,18.182151,3
ZC685,-66.98104,18.332595,8
ZC725,-66.04502,18.233927,14
ZC687,-66.41528,18.31708,7
ZC703,-66.12827,18.246205,6
ZC772,-65.87605,18.427674,5
ZC656,-66.79168,18.038866,5
ZC660,-67.12085,18.139108,5
ZC791,-65.82269,18.147257,9
ZC693,-66.3921,18.440667,10
ZC723,-66.0131,18.023196,5
ZC652,-66.61217,18.457453,3
ZC637,-66.94864,18.073078,6
ZC617,-66.55575,18.455499,6
