T,long,lat,Demand
ZC718,-65.74293,18.22048,6
ZC953,-66.23414,18.36802,13
ZC610,-67.13604,18.288319,6
ZC731,-66.61192,18.077329,4
ZC704,-66.22291,17.970112,4
ZC664,-66.59243,18.212565,5
ZC983,-65.97582,18.414408,7
ZC678,-66.93275,18.442334,6
ZC603,-67.13422,18.448619,9
ZC680,-67.12655,18.205232,9
ZC738,-65.66116,18.32265,7
ZC982,-65.99313,18.409345,4
ZC985,-65.94691,18.374896,7
ZC968,-66.1025,18.408479,3
ZC631,-66.85174,18.186739,3
ZC926,-66.0562,18.361363,15
ZC682,-67.15428,18.208402,7
ZC637,-66.94864,18.073078,6
ZC698,-66.85587,18.06547,7
ZC676,-67.08424,18.37956,8
ZC606,-66.9588,18.182151,3
ZC715,-66.55868,18.003492,3
ZC778,-65.97791,18.258628,9
ZC745,-65.82277,18.366213,10
ZC783,-66.32305,18.304874,7
ZC717,-66.61374,18.004303,5
ZC769,-66.3611,18.092813,8
ZC616,-66.67669,18.426748,4
ZC921,-66.08633,18.394019,7
ZC957,-66.18669,18.369674,8
