T,long,lat,Demand
ZC676,-67.08424,18.37956,8
ZC637,-66.94864,18.073078,6
ZC926,-66.0562,18.361363,15
ZC985,-65.94691,18.374896,7
ZC769,-66.3611,18.092813,8
ZC794,-66.31058,18.204294,7
ZC953,-66.23414,18.36802,13
ZC718,-65.74293,18.22048,6
ZC983,-65.97582,18.414408,7
ZC682,-67.15428,18.208402,7
ZC719,-66.25098,18.294571,7
ZC603,-67.13422,18.448619,9
ZC976,-66.00561,18.346767,11
ZC715,-66.55868,18.003492,3
ZC783,-66.32305,18.304874,7
ZC627,-66.85644,18.435246,7
ZC957,-66.18669,18.369674,8
ZC698,-66.85587,18.06547,7
ZC982,-65.99313,18.409345,4
ZC731,-66.61192,18.077329,4
ZC680,-67.12655,18.205232,9
ZC717,-66.61374,18.004303,5
ZC921,-66.08633,18.394019,7
ZC907,-66.07798,18.451131,5
ZC664,-66.59243,18.212565,5
ZC660,-67.12085,18.139108,5
ZC778,-65.97791,18.258628,9
ZC616,-66.67669,18.426748,4
ZC745,-65.82277,18.366213,10
ZC606,-66.9588,18.182151,3
ZC738,-65.66116,18.32265,7
ZC670,-66.97604,18.241343,4
ZC631,-66.85174,18.186739,3
ZC610,-67.13604,18.288319,6
ZC720,-66.42265,18.217827,5
ZC705,-66.26541,18.12942,6
ZC968,-66.1025,18.408479,3
ZC704,-66.22291,17.970112,4
ZC757,-66.39457,17.98631,6
ZC678,-66.93275,18.442334,6
