T,long,lat,Demand
ZC725,-66.04502,18.233927,14
ZC698,-66.85587,18.06547,7
ZC985,-65.94691,18.374896,7
ZC757,-66.39457,17.98631,6
ZC731,-66.61192,18.077329,4
ZC685,-66.98104,18.332595,8
ZC960,-66.166014,18.34487,3
ZC982,-65.99313,18.409345,4
ZC767,-65.89703,18.072752,7
ZC638,-66.49835,18.308139,5
ZC740,-65.62761,18.331711,3
ZC771,-65.87088,18.18744,8
ZC917,-66.0513,18.422263,5
ZC901,-66.10786,18.465426,4
ZC962,-66.13847,18.437683,5
ZC662,-67.01973,18.478855,8
ZC678,-66.93275,18.442334,6
ZC703,-66.12827,18.246205,6
ZC606,-66.9588,18.182151,3
ZC784,-66.12779,17.984137,8
