T,long,lat,Demand
ZC616,-66.67669,18.426748,4
ZC920,-66.09069,18.41242,5
ZC782,-66.2267,18.223348,5
ZC968,-66.1025,18.408479,3
ZC913,-66.04256,18.450907,4
ZC719,-66.25098,18.294571,7
ZC707,-65.91018,18.014505,4
ZC738,-65.66116,18.32265,7
ZC662,-67.01973,18.478855,8
ZC949,-66.2042,18.433173,13
ZC683,-67.04524,18.092807,7
ZC692,-66.33186,18.419666,8
ZC754,-65.96831,18.15633,8
ZC646,-66.27689,18.442798,8
ZC705,-66.26541,18.12942,6
ZC650,-66.56773,18.363331,4
ZC623,-67.15222,18.08643,9
ZC641,-66.70519,18.268896,6
ZC965,-66.11703,18.431453,3
ZC926,-66.0562,18.361363,15
ZC670,-66.97604,18.241343,4
ZC766,-66.48208,18.126023,6
ZC778,-65.97791,18.258628,9
ZC783,-66.32305,18.304874,7
ZC741,-65.75765,18.160755,3
ZC627,-66.85644,18.435246,7
ZC703,-66.12827,18.246205,6
ZC795,-66.50289,18.036253,9
ZC667,-67.04226,18.017819,6
ZC918,-66.06494,18.417668,5
ZC915,-66.04888,18.436995,6
ZC780,-66.55939,18.068538,4
ZC961,-66.16033,18.412462,7
ZC962,-66.13847,18.437683,5
ZC685,-66.98104,18.332595,8
ZC917,-66.0513,18.422263,5
ZC786,-66.268717,18.128092,2
ZC704,-66.22291,17.970112,4
ZC716,-66.59965,17.999066,6
ZC676,-67.08424,18.37956,8
ZC653,-66.90097,17.992112,4
ZC659,-66.80039,18.432956,8
ZC606,-66.9588,18.182151,3
ZC669,-66.87503,18.288418,6
ZC757,-66.39457,17.98631,6
ZC784,-66.12779,17.984137,8
ZC960,-66.166014,18.34487,3
ZC729,-65.89089,18.35615,10
ZC723,-66.0131,18.023196,5
ZC957,-66.18669,18.369674,8
ZC777,-65.91316,18.224088,8
ZC660,-67.12085,18.139108,5
ZC739,-66.16271,18.16984,8
ZC740,-65.62761,18.331711,3
ZC674,-66.48697,18.426137,8
ZC610,-67.13604,18.288319,6
ZC602,-67.18024,18.363285,8
ZC690,-67.09867,18.495369,3
ZC907,-66.07798,18.451131,5
ZC656,-66.79168,18.038866,5
ZC901,-66.10786,18.465426,4
ZC969,-66.10889,18.366981,8
ZC601,-66.74947,18.180103,5
ZC715,-66.55868,18.003492,3
ZC735,-65.65987,18.258444,4
ZC638,-66.49835,18.308139,5
ZC956,-66.16643,18.34216,11
ZC936,-66.060533,18.410462,3
ZC637,-66.94864,18.073078,6
ZC769,-66.3611,18.092813,8
ZC924,-66.01194,18.401917,9
ZC617,-66.55575,18.455499,6
ZC698,-66.85587,18.06547,7
ZC622,-67.16745,18.003125,3
ZC652,-66.61217,18.457453,3
ZC983,-65.97582,18.414408,7
ZC717,-66.61374,18.004303,5
ZC664,-66.59243,18.212565,5
ZC971,-66.11876,18.329688,6
ZC987,-65.96275,18.372228,10
