T,long,lat,Demand
ZC962,-66.13847,18.437683,5
ZC971,-66.11876,18.329688,6
ZC725,-66.04502,18.233927,14
ZC969,-66.10889,18.366981,8
ZC692,-66.33186,18.419666,8
ZC670,-66.97604,18.241343,4
ZC730,-66.61727,18.022626,7
ZC602,-67.18024,18.363285,8
ZC690,-67.09867,18.495369,3
ZC966,-66.11522,18.398507,5
ZC751,-66.26534,17.993803,5
ZC786,-66.268717,18.128092,2
ZC631,-66.85174,18.186739,3
ZC936,-66.060533,18.410462,3
ZC735,-65.65987,18.258444,4
ZC987,-65.96275,18.372228,10
ZC688,-66.61348,18.40415,4
ZC767,-65.89703,18.072752,7
ZC676,-67.08424,18.37956,8
ZC641,-66.70519,18.268896,6
ZC960,-66.166014,18.34487,3
ZC652,-66.61217,18.457453,3
ZC716,-66.59965,17.999066,6
ZC959,-66.15943,18.387063,9
ZC660,-67.12085,18.139108,5
ZC714,-66.05552,17.987288,5
ZC968,-66.1025,18.408479,3
ZC795,-66.50289,18.036253,9
ZC740,-65.62761,18.331711,3
ZC606,-66.9588,18.182151,3
ZC627,-66.85644,18.435246,7
ZC650,-66.56773,18.363331,4
ZC656,-66.79168,18.038866,5
ZC647,-66.93993,17.964529,3
ZC926,-66.0562,18.361363,15
ZC778,-65.97791,18.258628,9
ZC731,-66.61192,18.077329,4
ZC638,-66.49835,18.308139,5
ZC664,-66.59243,18.212565,5
ZC794,-66.31058,18.204294,7
ZC683,-67.04524,18.092807,7
ZC617,-66.55575,18.455499,6
ZC680,-67.12655,18.205232,9
ZC612,-66.69879,18.449732,11
ZC720,-66.42265,18.217827,5
ZC754,-65.96831,18.15633,8
ZC601,-66.74947,18.180103,5
ZC622,-67.16745,18.003125,3
ZC719,-66.25098,18.294571,7
ZC924,-66.01194,18.401917,9
