T,long,lat,Demand
ZC637,-66.94864,18.073078,6
ZC731,-66.61192,18.077329,4
ZC664,-66.59243,18.212565,5
ZC687,-66.41528,18.31708,7
ZC911,-66.0577,18.45009,3
ZC952,-66.18014,18.429218,4
ZC736,-66.15377,18.112895,9
ZC923,-66.03806,18.410681,6
ZC778,-65.97791,18.258628,9
ZC692,-66.33186,18.419666,8
ZC982,-65.99313,18.409345,4
ZC773,-65.72133,18.361344,5
ZC767,-65.89703,18.072752,7
ZC962,-66.13847,18.437683,5
ZC920,-66.09069,18.41242,5
ZC966,-66.11522,18.398507,5
ZC641,-66.70519,18.268896,6
ZC602,-67.18024,18.363285,8
ZC739,-66.16271,18.16984,8
ZC638,-66.49835,18.308139,5
ZC720,-66.42265,18.217827,5
ZC715,-66.55868,18.003492,3
ZC772,-65.87605,18.427674,5
ZC956,-66.16643,18.34216,11
ZC795,-66.50289,18.036253,9
ZC656,-66.79168,18.038866,5
ZC735,-65.65987,18.258444,4
ZC915,-66.04888,18.436995,6
ZC623,-67.15222,18.08643,9
ZC716,-66.59965,17.999066,6
ZC617,-66.55575,18.455499,6
ZC707,-65.91018,18.014505,4
ZC698,-66.85587,18.06547,7
ZC717,-66.61374,18.004303,5
ZC678,-66.93275,18.442334,6
ZC907,-66.07798,18.451131,5
ZC976,-66.00561,18.346767,11
ZC683,-67.04524,18.092807,7
ZC918,-66.06494,18.417668,5
ZC969,-66.10889,18.366981,8
ZC719,-66.25098,18.294571,7
ZC740,-65.62761,18.331711,3
ZC674,-66.48697,18.426137,8
ZC953,-66.23414,18.36802,13
ZC622,-67.16745,18.003125,3
ZC957,-66.18669,18.369674,8
ZC624,-66.72602,18.055399,6
ZC680,-67.12655,18.205232,9
ZC647,-66.93993,17.964529,3
ZC960,-66.166014,18.34487,3
ZC705,-66.26541,18.12942,6
ZC909,-66.06764,18.442282,3
ZC949,-66.2042,18.433173,13
ZC725,-66.04502,18.233927,14
ZC791,-65.82269,18.147257,9
ZC646,-66.27689,18.442798,8
ZC729,-65.89089,18.35615,10
ZC936,-66.060533,18.410462,3
ZC757,-66.39457,17.98631,6
ZC669,-66.87503,18.288418,6
ZC985,-65.94691,18.374896,7
ZC730,-66.61727,18.022626,7
ZC682,-67.15428,18.208402,7
ZC794,-66.31058,18.204294,7
ZC959,-66.15943,18.387063,9
ZC971,-66.11876,18.329688,6
ZC777,-65.91316,18.224088,8
ZC714,-66.05552,17.987288,5
ZC631,-66.85174,18.186739,3
ZC917,-66.0513,18.422263,5
ZC606,-66.9588,18.182151,3
ZC723,-66.0131,18.023196,5
ZC912,-66.05928,18.445946,3
ZC653,-66.90097,17.992112,4
ZC921,-66.08633,18.394019,7
ZC745,-65.82277,18.366213,10
ZC968,-66.1025,18.408479,3
ZC961,-66.16033,18.412462,7
ZC704,-66.22291,17.970112,4
ZC603,-67.13422,18.448619,9
ZC616,-66.67669,18.426748,4
ZC926,-66.0562,18.361363,15
ZC667,-67.04226,18.017819,6
ZC677,-67.23675,18.336121,4
ZC612,-66.69879,18.449732,11
ZC766,-66.48208,18.126023,6
ZC987,-65.96275,18.372228,10
ZC659,-66.80039,18.432956,8
ZC769,-66.3611,18.092813,8
ZC927,-66.06867,18.39184,4
ZC652,-66.61217,18.457453,3
ZC676,-67.08424,18.37956,8
ZC771,-65.87088,18.18744,8
ZC924,-66.01194,18.401917,9
ZC925,-66.05028,18.400006,3
ZC780,-66.55939,18.068538,4
ZC690,-67.09867,18.495369,3
ZC754,-65.96831,18.15633,8
ZC784,-66.12779,17.984137,8
ZC610,-67.13604,18.288319,6
ZC913,-66.04256,18.450907,4
ZC660,-67.12085,18.139108,5
ZC688,-66.61348,18.40415,4
ZC782,-66.2267,18.223348,5
ZC965,-66.11703,18.431453,3
ZC901,-66.10786,18.465426,4
ZC738,-65.66116,18.32265,7
ZC783,-66.32305,18.304874,7
ZC718,-65.74293,18.22048,6
ZC979,-66.0127,18.431885,5
ZC983,-65.97582,18.414408,7
ZC703,-66.12827,18.246205,6
ZC601,-66.74947,18.180103,5
ZC650,-66.56773,18.363331,4
ZC685,-66.98104,18.332595,8
ZC670,-66.97604,18.241343,4
ZC627,-66.85644,18.435246,7
ZC786,-66.268717,18.128092,2
ZC751,-66.26534,17.993803,5
ZC741,-65.75765,18.160755,3
