T,long,lat,Demand
ZC641,-66.70519,18.268896,6
ZC731,-66.61192,18.077329,4
ZC683,-67.04524,18.092807,7
ZC754,-65.96831,18.15633,8
ZC778,-65.97791,18.258628,9
ZC924,-66.01194,18.401917,9
ZC795,-66.50289,18.036253,9
ZC656,-66.79168,18.038866,5
ZC664,-66.59243,18.212565,5
ZC971,-66.11876,18.329688,6
ZC617,-66.55575,18.455499,6
ZC606,-66.9588,18.182151,3
ZC966,-66.11522,18.398507,5
ZC751,-66.26534,17.993803,5
ZC767,-65.89703,18.072752,7
ZC602,-67.18024,18.363285,8
ZC716,-66.59965,17.999066,6
ZC968,-66.1025,18.408479,3
ZC690,-67.09867,18.495369,3
ZC652,-66.61217,18.457453,3
ZC926,-66.0562,18.361363,15
ZC647,-66.93993,17.964529,3
ZC740,-65.62761,18.331711,3
ZC719,-66.25098,18.294571,7
ZC960,-66.166014,18.34487,3
ZC794,-66.31058,18.204294,7
ZC660,-67.12085,18.139108,5
ZC987,-65.96275,18.372228,10
ZC670,-66.97604,18.241343,4
ZC627,-66.85644,18.435246,7
