T,long,lat,Demand
ZC703,-66.12827,18.246205,6
ZC723,-66.0131,18.023196,5
ZC920,-66.09069,18.41242,5
ZC624,-66.72602,18.055399,6
ZC772,-65.87605,18.427674,5
ZC687,-66.41528,18.31708,7
ZC739,-66.16271,18.16984,8
ZC606,-66.9588,18.182151,3
ZC705,-66.26541,18.12942,6
ZC725,-66.04502,18.233927,14
ZC664,-66.59243,18.212565,5
ZC602,-67.18024,18.363285,8
ZC901,-66.10786,18.465426,4
ZC656,-66.79168,18.038866,5
ZC685,-66.98104,18.332595,8
ZC956,-66.16643,18.34216,11
ZC966,-66.11522,18.398507,5
ZC968,-66.1025,18.408479,3
ZC693,-66.3921,18.440667,10
ZC777,-65.91316,18.224088,8
