T,long,lat,Demand
ZC638,-66.49835,18.308139,5
ZC949,-66.2042,18.433173,13
ZC622,-67.16745,18.003125,3
ZC924,-66.01194,18.401917,9
ZC957,-66.18669,18.369674,8
ZC660,-67.12085,18.139108,5
ZC716,-66.59965,17.999066,6
ZC683,-67.04524,18.092807,7
ZC623,-67.15222,18.08643,9
ZC637,-66.94864,18.073078,6
ZC653,-66.90097,17.992112,4
ZC907,-66.07798,18.451131,5
ZC913,-66.04256,18.450907,4
ZC795,-66.50289,18.036253,9
ZC674,-66.48697,18.426137,8
ZC786,-66.268717,18.128092,2
ZC926,-66.0562,18.361363,15
ZC641,-66.70519,18.268896,6
ZC983,-65.97582,18.414408,7
ZC741,-65.75765,18.160755,3
