T,long,lat,Demand
ZC926,-66.0562,18.361363,15
ZC622,-67.16745,18.003125,3
ZC641,-66.70519,18.268896,6
ZC983,-65.97582,18.414408,7
ZC638,-66.49835,18.308139,5
ZC692,-66.33186,18.419666,8
ZC741,-65.75765,18.160755,3
ZC704,-66.22291,17.970112,4
ZC757,-66.39457,17.98631,6
ZC924,-66.01194,18.401917,9
ZC716,-66.59965,17.999066,6
ZC936,-66.060533,18.410462,3
ZC754,-65.96831,18.15633,8
ZC601,-66.74947,18.180103,5
ZC786,-66.268717,18.128092,2
ZC683,-67.04524,18.092807,7
ZC949,-66.2042,18.433173,13
ZC623,-67.15222,18.08643,9
ZC650,-66.56773,18.363331,4
ZC667,-67.04226,18.017819,6
ZC907,-66.07798,18.451131,5
ZC646,-66.27689,18.442798,8
ZC637,-66.94864,18.073078,6
ZC957,-66.18669,18.369674,8
ZC913,-66.04256,18.450907,4
ZC782,-66.2267,18.223348,5
ZC795,-66.50289,18.036253,9
ZC660,-67.12085,18.139108,5
ZC674,-66.48697,18.426137,8
ZC653,-66.90097,17.992112,4
