T,long,lat,Demand
ZC757,-66.39457,17.98631,6
ZC917,-66.0513,18.422263,5
ZC725,-66.04502,18.233927,14
ZC698,-66.85587,18.06547,7
ZC901,-66.10786,18.465426,4
ZC603,-67.13422,18.448619,9
ZC962,-66.13847,18.437683,5
ZC623,-67.15222,18.08643,9
ZC731,-66.61192,18.077329,4
ZC924,-66.01194,18.401917,9
ZC638,-66.49835,18.308139,5
ZC771,-65.87088,18.18744,8
ZC690,-67.09867,18.495369,3
ZC703,-66.12827,18.246205,6
ZC965,-66.11703,18.431453,3
ZC680,-67.12655,18.205232,9
ZC669,-66.87503,18.288418,6
ZC782,-66.2267,18.223348,5
ZC740,-65.62761,18.331711,3
ZC985,-65.94691,18.374896,7
ZC786,-66.268717,18.128092,2
ZC685,-66.98104,18.332595,8
ZC784,-66.12779,17.984137,8
ZC982,-65.99313,18.409345,4
ZC767,-65.89703,18.072752,7
ZC606,-66.9588,18.182151,3
ZC728,-66.65218,18.013353,8
ZC678,-66.93275,18.442334,6
ZC960,-66.166014,18.34487,3
ZC662,-67.01973,18.478855,8
