T,long,lat,Demand
ZC646,-66.27689,18.442798,8
ZC913,-66.04256,18.450907,4
ZC660,-67.12085,18.139108,5
ZC652,-66.61217,18.457453,3
ZC971,-66.11876,18.329688,6
ZC738,-65.66116,18.32265,7
ZC622,-67.16745,18.003125,3
ZC961,-66.16033,18.412462,7
ZC667,-67.04226,18.017819,6
ZC926,-66.0562,18.361363,15
ZC676,-67.08424,18.37956,8
ZC757,-66.39457,17.98631,6
ZC741,-65.75765,18.160755,3
ZC936,-66.060533,18.410462,3
ZC641,-66.70519,18.268896,6
ZC782,-66.2267,18.223348,5
ZC638,-66.49835,18.308139,5
ZC924,-66.01194,18.401917,9
ZC606,-66.9588,18.182151,3
ZC656,-66.79168,18.038866,5
ZC698,-66.85587,18.06547,7
ZC637,-66.94864,18.073078,6
ZC653,-66.90097,17.992112,4
ZC717,-66.61374,18.004303,5
ZC683,-67.04524,18.092807,7
ZC704,-66.22291,17.970112,4
ZC674,-66.48697,18.426137,8
ZC920,-66.09069,18.41242,5
ZC740,-65.62761,18.331711,3
ZC907,-66.07798,18.451131,5
ZC918,-66.06494,18.417668,5
ZC623,-67.15222,18.08643,9
ZC917,-66.0513,18.422263,5
ZC783,-66.32305,18.304874,7
ZC983,-65.97582,18.414408,7
ZC690,-67.09867,18.495369,3
ZC949,-66.2042,18.433173,13
ZC601,-66.74947,18.180103,5
ZC968,-66.1025,18.408479,3
ZC707,-65.91018,18.014505,4
ZC786,-66.268717,18.128092,2
ZC957,-66.18669,18.369674,8
ZC650,-66.56773,18.363331,4
ZC659,-66.80039,18.432956,8
ZC692,-66.33186,18.419666,8
ZC969,-66.10889,18.366981,8
ZC987,-65.96275,18.372228,10
ZC754,-65.96831,18.15633,8
ZC795,-66.50289,18.036253,9
ZC716,-66.59965,17.999066,6
